region_name,n_voxels_region,n_voxels_overlap,fraction_covered,mean_overlap,weighted_mean_overlap,sum_overlap,sum_atlas_in_tract,pwll_normalised,max_atlas_prob_in_overlap,continuous_dice,p90_overlap,p95_overlap
Corpus_Callosum_Forceps_Minor,271916,215038,0.7908251077538652,0.19710581478182448,0.26730391316631535,53596.224732214585,58192.60812395124,0.9210143085192833,1.0,0.39231493938556566,0.7808988690376282,0.9606741666793823
Thalamic_Radiation_Superior_L,197812,177969,0.8996875821487068,0.19391786609445807,0.28940212637048657,38359.28092787694,32191.26284148032,1.191605346977838,1.0,0.36504789639334034,0.617977499961853,0.8314606547355652
Corticopontine_Tract_Frontal_L,162218,134301,0.8279044249096894,0.19043983827915126,0.24713835914409005,30892.76968596736,15284.634220245585,2.021165128377602,0.9896714091300964,0.41304460614823124,0.6797752976417542,0.8595505356788635
Corticostriatal_Tract_Superior_L,190676,164443,0.8624210702972582,0.1849931151287934,0.24101373105498838,35273.74722029781,35166.52207316726,1.0030490688532536,0.9990610480308533,0.3534275003911702,0.617977499961853,0.8370786309242249
Uncinate_Fasciculus_R,50011,43036,0.8605306832496851,0.16060365608269617,0.15656671818729098,8031.949444351718,8322.104447411257,0.9651344194376463,1.0,0.3127821608983302,0.6292135119438171,0.9044944047927856
Inferior_Longitudinal_Fasciculus_R,165323,152574,0.9228842931715491,0.14554579470167017,0.22147433578487144,24062.06741746422,35262.821605562,0.6823636431200648,0.9821596741676331,0.25620181614861526,0.483146071434021,0.7078651785850525
Reticulospinal_Tract_L,223905,169440,0.756749514302941,0.14198635613421365,0.1685757982537983,31791.45507023111,29887.119125820696,1.0637176148157144,1.0,0.318987754497806,0.5898876190185547,0.7865168452262878
Thalamic_Radiation_Anterior_L,121816,100470,0.8247685033164773,0.13152102479088112,0.1361336978644649,16021.365155925974,20330.701015411934,0.7880380093033086,1.0,0.2652528507079101,0.47191011905670166,0.6966292262077332
Cingulum_Parahippocampal_Parietal_R,50831,46562,0.9160158171194743,0.12725435829692094,0.1382749536556015,6468.4662865907885,8123.010546720878,0.7963139096504065,0.9981220960617065,0.23657182185470613,0.35393258929252625,0.5
Corpus_Callosum_Tapetum,292224,194953,0.6671354851073149,0.1267833980265616,0.18594519176074692,37049.15170491394,20576.384598117962,1.800566641250605,0.9887323975563049,0.34379675675311566,0.6404494643211365,0.8764045238494873
Corticostriatal_Tract_Anterior_L,119728,92469,0.7723256047039957,0.11948881883739813,0.08598698629314283,14306.157301764004,29275.735999538563,0.48866943266565505,1.0,0.23501890548792562,0.466292142868042,0.7022472023963928
Superior_Longitudinal_Fasciculus2_L,137382,108287,0.7882182527550916,0.116489918434096,0.10718380239361172,16003.617974312976,28799.690919701417,0.5556871432729562,0.9896714091300964,0.23348171681650848,0.3595505654811859,0.5112359523773193
Cingulum_Rarolfactory_L,23148,15367,0.6638586486953516,0.1140094128912215,0.055139562733278996,2639.0898896059953,4384.311857536493,0.6019393636585142,0.9990610480308533,0.2672318586878066,0.6404494643211365,0.8595505356788635
Vertical_Occipital_Fasciculus_R,39874,38397,0.9629583187039173,0.10381324766510668,0.08593611394492497,4139.4494373984635,7041.651831129449,0.5878520461774257,0.9427230358123779,0.18219948306488173,0.3089887499809265,0.49438202381134033
Corticobulbar_Tract_L,44932,38717,0.861679871806285,0.09526618007699596,0.09271399450359795,4280.500003219582,5258.588056065259,0.814001773400457,0.9379450678825378,0.19467619160713878,0.23595505952835083,0.35393258929252625
Cingulum_Parahippocampal_R,19413,16305,0.8399010972029053,0.08713262337690036,0.09838610467945681,1691.5056176157668,3811.570995070855,0.44378174243723423,1.0,0.16817037237909332,0.2752808928489685,0.38764044642448425
Fornix_R,4523,3116,0.6889232810081805,0.07222138034752643,0.11791403440559417,326.65730331186205,1698.5878379547503,0.1923111045615317,0.9971831440925598,0.1356948151352565,0.24719101190567017,0.32162922620773315
Corticopontine_Tract_Parietal_L,105755,70959,0.6709753675949127,0.07194952939528114,0.06367753134417961,7609.022481197957,11562.157122423698,0.6580971353901588,0.9990610480308533,0.18441385813118552,0.2752808928489685,0.5
Corpus_Callosum_Forceps_Major,242297,160769,0.6635203902648402,0.06965761631984749,0.06230455527529804,16877.831461450085,50530.93748788157,0.3340098620869197,1.0,0.1597523564096469,0.2752808928489685,0.4438202381134033
Arcuate_Fasciculus_L,162000,89949,0.5552407407407407,0.05205392567738373,0.04555759890382872,8432.735959736165,30472.168898023665,0.2767356661731777,0.9971831440925598,0.14005404592737783,0.23595505952835083,0.3651685416698456
Superior_Longitudinal_Fasciculus3_L,58549,38404,0.6559292216775692,0.04211242642503468,0.04197828766882618,2465.6404547593556,12202.021922422864,0.2020681875868792,0.9755868911743164,0.0974445475496608,0.15730337798595428,0.2078651636838913
Thalamic_Radiation_Posterior_L,89307,55949,0.6264794472997637,0.04210724708221619,0.04427867193882681,3760.4719151714817,16544.246452726424,0.22729786611416028,1.0,0.1037468205434481,0.1741573065519333,0.2584269642829895
Inferior_Fronto_Occipital_Fasciculus_L,183724,97681,0.5316725087631448,0.035607209096033966,0.02578123042545979,6541.898883959744,39250.6123131034,0.16666998292344604,1.0,0.09554987009137451,0.16853933036327362,0.2808988690376282
Corticopontine_Tract_Occipital_L,119160,54717,0.45918932527693856,0.031445681663947074,0.030463107148631475,3747.0674270759337,8650.060333137866,0.4331839643616289,0.9971831440925598,0.11826546497112479,0.12921348214149475,0.23595505952835083
Corticostriatal_Tract_Posterior_L,130476,69854,0.5353781538367209,0.025106257497852315,0.03072059471790173,3275.7640532897785,17165.491547412705,0.19083427027078192,0.9971831440925598,0.07528805317151212,0.12359550595283508,0.17977528274059296
Middle_Longitudinal_Fasciculus_L,77464,38769,0.5004776412268925,0.023820851381481378,0.014205844325134562,1845.2584314150736,9211.224701080471,0.20032715423809233,0.948863685131073,0.07691745684440365,0.12921348214149475,0.19662921130657196
Cingulum_Parahippocampal_Parietal_L,44397,22806,0.5136833569835799,0.01906951406892921,0.018833962074738874,846.62921611825,6486.316605456115,0.13052542261136132,0.9830986261367798,0.057805548637321034,0.10674156993627548,0.15730337798595428
Fornix_L,4461,2075,0.4651423447657476,0.018962090980487872,0.03272563222688756,84.58988786395639,1365.157783862378,0.06196345130496939,0.9943662285804749,0.049177911699727066,0.06741572916507721,0.11235955357551575
Optic_Radiation_L,49625,24328,0.4902367758186398,0.016242379714854493,0.024786449762062075,806.0280933496542,8965.40024011163,0.08990430675291504,0.9990610480308533,0.04841969204326315,0.07865168899297714,0.11235955357551575
Uncinate_Fasciculus_L,63047,23787,0.3772899582850889,0.0149472045790331,0.008485903900480152,942.3764070942998,11547.558060827723,0.08160828481054208,0.9981220960617065,0.053340211895222686,0.11235955357551575,0.16292135417461395
Cingulum_Parahippocampal_L,25819,9112,0.3529183934311941,0.009858822763554693,0.004541179842885281,254.54494493221864,5078.579477798194,0.050121288058009486,0.9924882650375366,0.035875200914869725,0.07303370535373688,0.11797752976417542
Inferior_Longitudinal_Fasciculus_L,152437,45398,0.2978148349810085,0.0061022446665215425,0.008615050504476104,930.2078702305444,32227.075048810453,0.028864173022890568,0.9924882650375366,0.02396668524044922,0.04494382068514824,0.06741572916507721
Parietal_Aslant_Tract_L,71376,16785,0.23516308002689978,0.003981368517285969,0.0017550189361737782,284.17415928980336,14785.88771836739,0.01921928292048338,0.9652582406997681,0.01800229134035251,0.03932584449648857,0.05056179687380791
Vertical_Occipital_Fasciculus_L,43855,10795,0.24615209212176492,0.003364893782889404,0.001999723086524901,147.5674168486148,8287.049990334956,0.017806990065309145,0.9624413251876831,0.015466620926300644,0.028089888393878937,0.03932584449648857
